author,year,n,country,institution,city,lookup,lon,lat,type,loctype,address,north,south,east,west
"Adebamowo, M.a",2018,1,Nigeria,University of Lagos,Lagos,"University of Lagos, Lagos, Nigeria",3.3930713,6.5123047,neighborhood,approximate,"university of lagos 101245, lagos, nigeria",6.51933,6.5036876,3.4049131,3.3847999
"Andamon, M.m",2018,1,Australia,RMIT University,Melbourne,"RMIT University, Melbourne, Australia",144.9639607,-37.8161708,locality,approximate,"melbourne vic 3004, australia",-37.7994459,-37.8555269,144.9890971,144.951435
"Arens, E",2021,3,United States,University of California Berkeley,Berkeley,"University of California Berkeley, Berkeley, United States",-122.2585399,37.8718992,establishment,geometric_center,"berkeley, ca, usa",37.8724046,37.868723,-122.2585399,-122.2660131
"Arens, E",2018,3,United States,University of California Berkeley,Berkeley,"University of California Berkeley, Berkeley, United States",-122.2585399,37.8718992,establishment,geometric_center,"berkeley, ca, usa",37.8724046,37.868723,-122.2585399,-122.2660131
"Babich, F",2018,1,United Kingdom,Loughborough University,Loughborough,"Loughborough University, Loughborough, United Kingdom",-1.2320904,52.7650253,establishment,geometric_center,"epinal way, loughborough le11 3tu, uk",52.7703131,52.7620724,-1.2195884,-1.2441966
"Bouden, C",2018,1,Tunisia,University of Tunis - El Manar,Tunis,"University of Tunis - El Manar, Tunis, Tunisia",10.146268,36.829309,establishment,geometric_center,"université de tunis el manar, campus universitaire farhat hached, b.p. n° 94 - rommana, tunis 1068, tunisia",36.83066668,36.82796872,10.14748988,10.14479192
"Brager, G",2021,5,United States,University of California Berkeley,Berkeley,"University of California Berkeley, Berkeley, United States",-122.2585399,37.8718992,establishment,geometric_center,"berkeley, ca, usa",37.8724046,37.868723,-122.2585399,-122.2660131
"Brager, G",2020,5,United States,University of California Berkeley,Berkeley,"University of California Berkeley, Berkeley, United States",-122.2585399,37.8718992,establishment,geometric_center,"berkeley, ca, usa",37.8724046,37.868723,-122.2585399,-122.2660131
"Brager, G",2019,5,United States,University of California Berkeley,Berkeley,"University of California Berkeley, Berkeley, United States",-122.2585399,37.8718992,establishment,geometric_center,"berkeley, ca, usa",37.8724046,37.868723,-122.2585399,-122.2660131
"Brager, G",2018,5,United States,University of California Berkeley,Berkeley,"University of California Berkeley, Berkeley, United States",-122.2585399,37.8718992,establishment,geometric_center,"berkeley, ca, usa",37.8724046,37.868723,-122.2585399,-122.2660131
"Bukovianska, H",2018,1,Slovakia,Slovak University of Technology in Bratislava,Bratislava,"Slovak University of Technology in Bratislava, Bratislava, Slovakia",17.1174804,48.1545931,establishment,rooftop,"public@stuba.sk, vazovova 5, 811 07 bratislava-staré mesto, slovakia",48.15594208,48.15324412,17.11882938,17.11613142
"Candido, C",2018,5,Australia,University of Sydney,Sydney,"University of Sydney, Sydney, Australia",151.2092955,-33.8688197,colloquial_area,approximate,"sydney nsw, australia",-33.5781409,-34.118347,151.3430209,150.5209286
"Candido, C",2017,5,Australia,University of Sydney,Sydney,"University of Sydney, Sydney, Australia",151.2092955,-33.8688197,colloquial_area,approximate,"sydney nsw, australia",-33.5781409,-34.118347,151.3430209,150.5209286
"Candido, C",2016,5,Australia,University of Sydney,Sydney,"University of Sydney, Sydney, Australia",151.2092955,-33.8688197,colloquial_area,approximate,"sydney nsw, australia",-33.5781409,-34.118347,151.3430209,150.5209286
"Candido, C",2012,5,Australia,University of Sydney,Sydney,"University of Sydney, Sydney, Australia",151.2092955,-33.8688197,colloquial_area,approximate,"sydney nsw, australia",-33.5781409,-34.118347,151.3430209,150.5209286
"Cao, B",2018,1,China,Tsinghua University,Beijing,"Tsinghua University, Beijing, China",116.3264439,39.9996674,establishment,rooftop,"30 shuang qing lu, 蓝旗营 hai dian qu, bei jing shi, china, 100190",40.00101638,39.99831842,116.3277929,116.3250949
"Carlucci, S",2018,1,Norway,Norwegian University of Science and Technology,Trondheim,"Norwegian University of Science and Technology, Trondheim, Norway",10.401994,63.4194872,establishment,rooftop,"høgskoleringen 1, 7034 trondheim, norway",63.42089533,63.41819737,10.40327333,10.40057537
"Cheong, D.k.w",2018,1,Singapore,National University of Singapore,Singapore,"National University of Singapore, Singapore, Singapore",103.7763939,1.2966426,establishment,rooftop,"21 lower kent ridge rd, singapore 119077",1.3014757,1.2919189,103.7850148,103.7700488
"Cheung, T",2019,3,Singapore,Berkeley Education Alliance For Research In Singapore,Singapore,"Berkeley Education Alliance For Research In Singapore, Singapore, Singapore",103.819836,1.352083,country,approximate,singapore,1.4784001,1.1496,104.0945001,103.594
"Choi, J.-H",2018,1,United States,University of Southern California,Los Angeles,"University of Southern California, Los Angeles, United States",-118.285117,34.0223519,establishment,geometric_center,"los angeles, ca 90007, usa",34.0249379,34.0184421,-118.2811023,-118.2913837
